PKC,PKA,Raf,Mek,P38,Jnk,Akt,Erk
19.1,466.0,79.9,20.4,34.9,6.15,24.1,8.82
8.74,1310.0,62.6,21.7,22.7,11.7,75.7,39.2
4.66,673.0,50.9,25.3,26.9,173.0,15.4,9.06
20.4,466.0,75.0,30.5,43.7,10.1,35.5,25.3
17.2,29.7,59.4,25.3,32.5,10.5,12.4,3.62
20.9,573.0,181.0,37.9,38.2,17.6,13.1,6.38
85.8,973.0,69.8,33.1,121.0,32.5,27.1,4.07
44.9,547.0,57.3,19.1,80.6,71.7,13.5,5.83
6.55,418.0,82.8,30.5,16.7,95.6,37.5,23.5
6.79,322.0,35.5,24.6,23.3,11.9,45.7,21.9
20.7,188.0,80.6,27.9,33.1,17.5,20.7,2.84
5.47,337.0,113.0,45.7,20.0,9.39,21.5,13.1
24.1,1731.0,8.9,10.1,42.2,20.7,355.0,181.0
37.5,583.0,35.2,14.1,47.4,9.47,22.5,12.9
25.7,547.0,24.1,12.3,59.9,80.6,16.5,9.14
22.5,319.0,164.0,33.1,35.5,12.4,24.1,16.3
3.05,382.0,57.8,27.1,27.1,78.4,34.6,25.9
4.45,429.0,90.6,27.4,42.9,80.6,18.9,10.9
1.86,578.0,38.5,12.7,7.37,3.43,10.8,4.22
2.5,667.0,51.4,36.8,14.9,64.9,25.9,12.7
11.7,437.0,26.9,15.1,24.4,15.4,38.5,20.4
25.9,474.0,56.2,21.1,39.6,75.7,19.8,14.1
10.0,418.0,70.4,35.5,22.3,6.67,31.6,18.8
16.3,362.0,58.8,35.2,19.8,10.4,33.7,18.4
12.0,151.0,69.2,35.5,31.1,27.6,18.6,8.51
19.6,799.0,69.8,47.0,47.8,16.4,51.4,32.8
1.67,1065.0,105.0,59.9,48.3,4.66,23.1,6.85
6.49,692.0,62.1,51.9,25.0,91.4,37.9,14.3
18.6,505.0,75.0,33.4,31.1,7.64,27.6,19.8
11.7,400.0,20.4,15.1,22.7,6.85,22.9,9.14
22.5,956.0,47.8,19.6,43.3,20.0,35.2,17.9
18.8,1407.0,59.9,53.3,29.4,16.8,37.9,11.1
11.0,207.0,46.6,27.1,31.3,12.0,38.2,21.5
15.3,3051.0,51.9,21.3,39.2,15.7,200.0,58.8
1.0,562.0,31.9,23.9,68.5,8.2,15.0,6.73
2.69,906.0,93.9,27.4,6.98,71.0,46.1,28.1
2.37,806.0,64.9,23.3,20.0,7.91,35.2,19.6
1.0,470.0,153.0,123.0,12.0,9.91,26.2,8.58
23.5,1843.0,16.7,12.4,36.2,30.5,64.9,44.9
7.7,655.0,71.7,25.5,16.4,49.1,31.3,12.2
7.77,470.0,35.5,23.7,33.4,16.3,22.7,13.0
2.53,239.0,83.5,61.5,2.69,6.1,19.5,3.46
9.56,433.0,31.9,8.82,48.7,54.2,16.0,16.8
2.71,799.0,29.4,20.2,15.4,49.1,150.0,89.0
10.8,313.0,302.0,325.0,36.5,17.2,38.2,29.2
2.92,483.0,40.3,16.5,15.3,89.0,29.7,19.3
20.0,557.0,29.2,15.4,24.6,7.7,47.0,6.38
5.47,375.0,46.1,25.7,39.2,95.6,35.9,16.8
3.59,820.0,52.3,21.5,25.0,93.1,23.9,7.23
10.2,1009.0,48.7,36.5,22.7,15.3,25.9,6.1
12.1,723.0,85.8,82.0,21.9,5.42,10.9,6.61
15.7,583.0,75.7,25.9,36.8,13.7,28.4,8.28
16.3,982.0,58.3,21.9,21.5,15.5,17.2,5.47
6.55,379.0,58.8,34.9,18.4,48.7,27.9,22.5
17.8,403.0,112.0,27.6,29.7,7.77,16.7,10.8
14.3,379.0,66.7,29.2,30.8,17.6,32.2,22.9
16.1,313.0,39.6,23.9,20.0,10.5,38.2,22.7
21.3,281.0,36.5,15.5,28.6,13.9,34.6,15.8
38.5,331.0,38.2,25.7,67.9,16.3,36.5,24.1
2.81,858.0,41.8,21.3,17.3,64.4,61.0,13.3
4.26,604.0,62.1,18.1,13.5,72.3,34.6,17.0
20.4,1472.0,167.0,79.1,29.2,12.9,89.0,28.4
2.21,271.0,55.7,28.6,4.45,9.73,17.6,7.5
9.06,906.0,84.3,71.7,25.0,42.2,17.8,8.9
20.9,1197.0,60.4,25.3,49.6,17.5,64.9,44.5
16.0,274.0,57.3,21.9,21.5,14.9,12.9,5.83
11.1,87.4,76.4,32.8,27.4,7.43,14.3,5.47
50.9,500.0,96.5,119.0,75.0,26.9,32.2,19.5
5.0,965.0,38.5,17.8,20.4,34.9,21.3,10.6
12.0,519.0,66.1,46.6,13.8,14.9,17.8,15.7
14.9,382.0,112.0,79.1,31.1,12.0,32.2,10.6
5.62,340.0,47.0,22.3,13.9,93.9,11.4,3.49
24.6,757.0,87.4,54.7,40.7,25.0,33.1,15.8
8.66,743.0,57.8,19.1,8.35,24.4,57.3,18.8
7.23,385.0,92.2,31.1,17.6,7.99,29.4,13.6
4.14,319.0,93.1,28.9,20.2,122.0,24.8,20.4
1.83,276.0,107.0,36.8,25.5,97.3,28.1,18.8
3.52,491.0,80.6,56.7,5.57,24.4,5.88,5.28
6.55,514.0,44.9,25.3,16.1,33.7,26.2,14.2
1.88,286.0,27.4,18.8,19.8,88.2,54.7,18.6
20.4,284.0,31.6,25.7,28.4,48.3,25.7,14.1
34.9,305.0,52.3,33.4,68.5,20.4,42.9,30.5
3.82,649.0,71.7,27.4,20.2,53.8,27.4,14.1
3.68,379.0,44.5,26.9,32.5,77.0,16.0,4.53
13.6,457.0,74.3,27.4,24.6,6.55,15.1,6.26
30.5,487.0,44.1,20.2,40.0,23.7,30.2,22.3
12.6,710.0,42.9,22.9,24.4,65.5,36.8,13.1
3.68,509.0,79.1,26.4,16.0,63.2,20.4,8.06
69.8,2288.0,89.0,30.0,94.7,8.28,97.3,52.8
13.6,453.0,63.2,27.4,32.8,13.1,38.2,15.1
24.8,313.0,27.9,20.7,44.5,23.1,21.3,6.98
13.0,255.0,69.8,22.9,25.3,9.73,28.1,20.7
22.1,509.0,28.9,15.7,53.8,35.9,23.5,13.0
3.96,343.0,102.0,30.8,26.9,87.4,25.0,20.2
2.74,239.0,59.4,25.3,14.5,77.7,36.5,22.5
29.7,426.0,89.8,31.3,60.4,24.1,37.5,25.0
4.26,305.0,200.0,33.1,14.2,95.6,35.5,21.7
44.1,698.0,62.1,18.1,125.0,57.3,20.7,4.49
16.7,334.0,46.1,23.7,31.6,11.8,19.5,15.0
26.4,1208.0,149.0,85.1,46.6,30.0,69.2,29.2
12.2,1582.0,8.9,15.5,25.7,12.0,61.5,40.3
17.9,487.0,109.0,40.0,30.8,15.1,23.1,12.3
1.0,2571.0,71.7,42.9,33.4,1.01,34.9,8.13
18.6,649.0,68.5,24.4,38.5,17.8,17.2,5.94
20.4,632.0,79.9,44.1,51.4,35.9,82.8,39.2
23.9,799.0,85.1,34.9,41.8,16.7,86.6,44.1
2.15,470.0,196.0,163.0,6.61,2.81,25.3,22.9
23.3,322.0,38.5,17.3,37.5,19.3,42.6,29.4
25.0,573.0,64.4,50.9,54.7,20.9,30.0,22.5
13.9,352.0,97.3,22.7,36.2,9.82,25.3,19.6
40.0,1655.0,79.1,28.4,66.1,20.4,53.3,27.4
15.4,1018.0,106.0,24.8,31.9,14.2,108.0,70.4
6.15,297.0,76.4,30.8,29.4,118.0,34.0,19.3
11.5,1094.0,108.0,30.8,30.2,67.3,27.4,6.61
3.43,965.0,53.3,34.6,16.4,70.4,30.8,3.79
14.9,519.0,27.9,19.3,36.2,16.5,21.3,14.7
2.41,533.0,69.8,26.2,9.47,74.3,45.3,18.9
3.0,445.0,7.23,5.88,18.1,66.7,23.7,8.82
1.88,470.0,49.1,18.8,21.9,59.4,28.1,17.6
6.98,552.0,42.6,15.7,44.9,271.0,10.3,3.79
12.5,874.0,16.5,22.9,28.1,2.89,13.6,3.59
5.14,215.0,101.0,61.0,11.4,58.8,11.1,7.99
9.22,965.0,59.9,21.9,44.9,3.85,24.8,8.82
13.7,914.0,102.0,46.1,33.4,11.0,65.5,36.8
8.43,649.0,142.0,101.0,29.2,138.0,19.5,11.3
11.1,542.0,61.5,17.2,20.9,154.0,33.1,14.9
1.63,599.0,54.7,20.4,17.5,67.9,18.1,11.7
18.3,509.0,50.5,19.5,39.6,23.3,28.9,11.7
32.8,704.0,34.0,13.3,63.2,50.9,59.4,34.0
1.6,466.0,48.7,19.5,20.4,64.9,24.4,8.58
4.83,255.0,70.4,25.3,18.8,51.9,24.6,4.53
3.08,244.0,45.7,19.1,23.5,93.9,16.0,8.43
17.8,3220.0,78.4,33.1,29.7,18.3,164.0,66.7
9.82,355.0,17.6,11.4,23.1,18.9,36.5,23.7
2.07,610.0,29.4,26.4,22.1,57.3,71.7,15.4
20.5,461.0,63.8,21.1,31.3,13.2,13.9,4.41
19.6,362.0,227.0,155.0,39.2,12.1,10.1,10.8
12.6,1252.0,64.4,29.7,25.3,1.11,23.1,7.7
18.9,505.0,57.8,15.3,38.9,33.1,17.9,14.3
28.1,255.0,75.0,23.7,43.7,12.5,33.1,21.5
3.85,445.0,48.7,25.0,16.0,63.8,17.8,6.85
1.42,1346.0,61.0,53.3,19.6,79.9,25.7,9.56
6.15,5.57,96.5,46.1,32.5,73.0,22.3,3.85
16.4,474.0,54.7,26.2,24.1,7.3,18.6,11.5
18.3,562.0,118.0,39.2,36.5,13.3,11.1,4.33
17.3,1000.0,96.5,56.2,47.0,23.1,37.9,12.2
21.1,710.0,89.0,52.8,37.9,18.6,42.9,23.1
89.0,308.0,25.3,38.5,138.0,46.6,33.7,19.1
3.34,882.0,96.5,46.1,12.9,30.5,118.0,53.3
9.56,403.0,62.6,34.9,21.3,13.6,24.1,21.5
19.3,400.0,18.3,20.0,31.9,29.4,19.3,13.3
5.88,334.0,65.5,32.5,33.1,138.0,31.1,18.8
6.38,777.0,85.1,41.0,23.1,56.2,47.0,38.5
5.42,385.0,79.9,25.0,25.9,98.2,9.91,4.91
22.9,422.0,42.2,20.2,32.5,24.4,40.3,19.1
20.5,267.0,61.0,19.1,43.7,21.9,6.55,10.9
17.3,389.0,17.5,10.9,47.0,23.7,26.4,17.2
20.9,552.0,36.5,22.3,34.6,15.4,19.8,9.73
5.19,286.0,14.6,14.9,15.5,108.0,32.8,19.1
17.0,284.0,17.3,24.4,35.2,14.9,36.2,21.5
25.9,337.0,63.2,10.9,38.9,20.5,53.8,26.9
28.9,1499.0,35.2,16.0,46.1,10.7,117.0,15.5
15.8,604.0,57.3,27.6,37.2,18.8,12.4,5.57
13.6,1000.0,24.4,15.5,20.5,17.3,30.0,16.7
14.3,385.0,69.8,40.7,24.1,9.06,42.9,29.2
10.6,1382.0,74.3,35.9,28.9,4.26,33.1,10.6
17.2,730.0,101.0,35.5,32.5,17.9,72.3,49.6
1.0,379.0,41.4,17.2,13.2,8.66,34.3,23.9
25.7,158.0,82.0,66.1,63.2,31.9,12.3,5.28
18.8,382.0,86.6,38.2,30.5,3.49,31.3,19.5
20.5,195.0,14.1,7.23,38.2,15.8,86.6,17.3
25.5,750.0,89.8,52.3,41.0,15.0,83.5,38.2
3.82,528.0,97.3,41.4,14.6,68.5,27.1,11.3
13.9,505.0,26.9,13.7,30.2,10.2,39.2,17.5
1.78,407.0,89.0,21.3,1.53,55.2,13.7,3.31
24.4,269.0,66.1,23.9,36.5,11.3,35.9,21.7
6.49,305.0,129.0,53.3,40.3,87.4,8.13,7.64
21.9,599.0,39.2,19.3,47.0,17.8,12.1,7.23
5.78,346.0,25.0,18.6,11.9,26.4,41.0,29.7
23.3,365.0,45.7,19.3,40.0,21.1,22.9,5.33
1.0,422.0,62.1,20.5,89.0,1.57,21.5,14.9
23.9,25.3,71.0,32.5,37.5,17.8,20.5,4.83
17.5,181.0,50.0,31.6,28.6,9.22,113.0,14.7
10.1,523.0,102.0,31.6,33.4,104.0,18.3,8.58
3.49,542.0,63.2,24.6,9.82,4.53,17.5,6.44
1.0,359.0,233.0,66.1,18.9,58.8,18.4,13.3
11.8,1075.0,38.9,24.1,35.9,11.3,80.6,42.6
22.9,547.0,98.2,44.1,50.5,15.4,22.7,12.0
10.7,219.0,38.9,24.6,39.6,71.7,26.7,22.7
10.8,311.0,87.4,29.4,13.8,9.65,47.8,26.2
14.7,418.0,75.7,21.5,28.9,12.7,15.5,6.26
20.0,396.0,79.9,18.9,32.8,18.6,15.1,7.77
11.2,661.0,52.8,19.5,38.9,98.2,57.3,43.7
9.73,1358.0,63.8,17.0,25.9,91.4,109.0,70.4
4.53,500.0,107.0,44.9,12.4,69.8,21.1,7.84
18.4,667.0,59.4,18.4,51.9,18.4,59.4,31.1
7.7,542.0,106.0,74.3,27.9,167.0,36.2,16.0
24.8,655.0,71.0,40.7,43.3,14.3,16.7,7.99
12.3,392.0,21.5,13.1,27.9,29.2,11.1,4.29
19.1,1762.0,149.0,51.4,26.7,8.9,54.2,29.4
5.0,346.0,25.9,12.3,21.1,57.3,36.5,17.9
13.7,349.0,64.4,48.3,31.1,16.1,34.9,13.3
4.14,414.0,36.2,11.3,10.4,68.5,22.9,15.3
17.9,302.0,51.9,26.7,22.3,10.3,50.0,30.2
8.13,355.0,21.7,7.57,17.2,89.8,29.4,11.8
13.2,300.0,93.9,35.9,24.6,13.0,40.0,23.5
25.3,414.0,56.7,20.5,41.4,16.4,32.5,24.4
24.8,466.0,66.1,16.1,49.6,29.2,29.2,13.2
25.3,1346.0,27.6,17.0,52.8,13.2,50.5,29.7
25.7,400.0,49.1,33.4,33.7,20.9,39.2,25.3
7.77,49.1,157.0,51.9,10.3,41.0,45.3,5.99
9.47,466.0,124.0,33.4,24.1,262.0,25.0,16.1
4.07,239.0,37.9,16.4,58.8,89.0,13.9,2.53
2.05,474.0,45.3,25.5,23.5,106.0,22.9,12.3
18.9,316.0,163.0,86.6,38.5,13.2,53.3,40.3
24.6,400.0,62.6,33.7,45.3,28.6,4.29,5.0
30.8,1037.0,26.4,15.3,61.0,14.2,21.9,6.04
19.5,1446.0,52.3,29.7,43.7,20.7,32.2,11.9
15.3,621.0,81.3,24.8,34.0,22.1,248.0,181.0
26.2,496.0,95.6,38.2,48.7,10.4,45.3,26.4
8.82,828.0,79.9,29.4,22.1,12.6,71.0,30.0
16.0,717.0,17.3,14.6,26.4,8.35,14.7,10.4
1.98,1219.0,51.4,37.9,17.6,77.0,35.5,15.5
27.4,470.0,38.5,7.3,42.9,16.0,41.8,29.4
12.4,1000.0,52.8,53.3,23.5,23.7,62.6,36.8
29.7,1009.0,91.4,40.3,50.0,33.4,27.1,10.5
2.11,487.0,37.9,14.2,24.8,66.7,42.9,17.9
10.1,2618.0,55.2,18.8,30.8,58.3,97.3,55.7
1.0,982.0,44.5,24.8,58.3,8.43,57.3,21.1
17.0,349.0,70.4,30.0,53.3,22.3,36.8,19.1
3.89,400.0,47.4,30.5,36.8,96.5,87.4,33.1
3.96,359.0,63.8,21.7,19.8,80.6,26.2,20.5
20.7,154.0,23.5,42.9,36.2,13.5,8.51,1.5
9.39,1094.0,5.23,15.1,19.6,4.14,297.0,133.0
20.4,457.0,14.5,15.4,48.3,16.0,29.4,16.0
12.1,271.0,36.8,9.47,26.2,85.8,30.0,20.0
12.6,352.0,97.3,25.3,23.3,20.9,9.22,6.98
9.56,1027.0,16.3,12.1,15.4,67.3,64.4,43.3
1.0,286.0,44.5,31.3,59.4,3.68,43.3,32.5
5.42,331.0,67.9,53.3,15.1,94.7,36.8,22.1
8.58,2129.0,59.4,28.1,17.0,7.57,165.0,79.9
9.91,313.0,25.9,17.2,18.8,9.22,32.2,15.3
19.3,365.0,40.0,32.8,33.7,14.7,75.7,40.0
9.91,496.0,60.4,24.8,20.5,9.56,25.0,12.7
1.54,1526.0,50.5,24.6,23.3,59.9,91.4,57.8
13.7,466.0,31.1,18.8,26.7,15.0,21.9,10.6
18.8,331.0,11.2,17.9,24.8,10.9,19.3,12.7
8.06,1670.0,39.2,28.4,19.3,18.4,235.0,92.2
7.04,1075.0,72.3,27.1,21.3,35.5,23.3,7.3
14.1,343.0,62.1,16.1,20.2,9.65,50.0,31.3
31.9,385.0,12.7,12.9,59.4,28.1,14.1,3.37
17.0,737.0,49.6,17.9,31.6,7.77,129.0,67.3
17.3,418.0,62.6,22.7,32.5,12.4,22.5,5.73
2.35,483.0,10.8,5.33,21.1,85.8,22.9,11.0
3.0,70.4,74.3,26.4,14.7,92.2,17.2,4.26
1.67,429.0,73.0,21.7,44.9,3.0,19.1,16.5
1.6,305.0,10.9,6.38,13.8,62.6,11.0,8.58
11.2,422.0,55.2,18.9,25.3,14.2,23.9,11.5
17.9,538.0,56.7,13.9,39.6,14.6,30.2,5.67
19.5,433.0,97.3,61.5,35.2,21.5,31.9,24.6
17.5,1124.0,45.3,19.5,44.5,157.0,30.0,3.55
11.1,407.0,45.3,16.5,27.6,122.0,46.1,19.5
2.59,449.0,248.0,271.0,35.5,3.75,38.5,21.5
14.1,313.0,58.3,34.0,32.2,13.9,33.4,20.5
26.9,552.0,112.0,46.1,53.8,25.9,10.8,4.1
11.2,457.0,16.0,15.0,25.7,1.19,35.5,12.9
16.1,294.0,67.3,31.6,35.9,1.0,50.5,31.1
3.75,311.0,39.2,15.8,7.91,8.35,28.9,11.0
2.97,392.0,68.5,24.4,13.6,57.8,33.1,27.1
16.8,1700.0,59.9,40.0,47.4,16.7,143.0,95.6
38.2,429.0,88.2,67.3,136.0,55.7,36.2,12.7
5.38,239.0,13.1,11.2,17.2,73.7,34.9,21.1
13.6,343.0,99.1,50.5,29.4,12.0,12.0,3.92
29.2,449.0,53.3,18.6,44.1,21.9,17.2,17.6
4.18,281.0,137.0,50.0,23.5,123.0,17.9,6.98
4.29,661.0,44.5,19.8,21.7,126.0,18.9,3.92
12.7,322.0,255.0,85.8,21.1,26.2,17.0,7.23
5.57,27.6,55.2,25.0,18.1,7.43,6.04,3.0
36.5,1286.0,74.3,34.6,73.0,33.7,32.5,9.31
2.39,547.0,117.0,49.1,22.1,98.2,27.9,12.2
35.5,231.0,44.5,26.4,54.7,27.4,19.3,15.8
27.1,426.0,87.4,54.7,27.4,1.73,22.3,10.3
9.91,528.0,32.2,14.9,23.3,95.6,21.5,9.06
12.2,300.0,37.2,14.5,34.3,18.4,31.6,24.1
42.6,496.0,50.9,24.4,74.3,200.0,40.3,22.7
32.8,340.0,29.4,20.4,53.8,19.1,47.0,26.7
7.04,483.0,48.3,7.43,31.3,92.2,17.0,3.79
15.1,615.0,64.9,34.9,40.3,26.9,106.0,68.5
15.3,806.0,32.8,23.9,37.2,21.5,55.2,33.4
50.9,257.0,26.4,17.0,71.7,27.9,37.9,22.9
18.1,264.0,69.8,34.0,41.4,23.5,24.6,13.2
16.1,429.0,45.7,18.3,25.9,10.5,14.9,10.6
16.0,313.0,131.0,37.2,19.1,18.4,29.4,24.1
12.1,685.0,106.0,38.2,28.1,19.6,30.5,18.3
4.18,573.0,68.5,28.1,30.8,59.9,23.7,10.7
4.18,346.0,59.4,26.7,23.3,33.7,21.5,6.79
26.9,538.0,47.0,17.0,50.0,15.3,57.3,10.8
21.7,1625.0,56.7,35.9,30.5,19.8,105.0,37.9
4.18,835.0,28.4,12.6,15.8,90.6,60.4,36.2
3.19,599.0,35.2,19.1,14.3,90.6,21.1,2.71
10.8,956.0,47.0,24.1,30.5,11.5,29.2,7.77
23.7,1104.0,63.2,18.9,56.2,13.3,113.0,21.1
2.79,583.0,62.6,21.1,12.4,8.28,18.4,5.05
10.7,355.0,14.2,11.7,30.2,10.6,14.2,6.1
9.65,509.0,53.8,20.7,53.3,217.0,18.4,12.1
1.1,359.0,68.5,27.6,61.5,14.1,24.1,6.85
2.97,2480.0,119.0,64.4,31.9,78.4,33.4,8.66
13.3,698.0,41.8,11.1,22.3,11.1,34.0,6.79
13.9,414.0,44.9,21.7,27.4,9.91,20.9,2.59
15.3,343.0,72.3,38.9,40.0,18.3,13.7,3.68
24.6,219.0,53.3,34.6,63.8,137.0,12.7,8.66
9.47,523.0,31.9,18.9,23.7,16.3,24.6,7.57
7.1,305.0,117.0,59.4,21.1,32.5,30.5,21.1
2.33,649.0,45.3,32.8,31.6,57.3,11.5,3.08
32.5,262.0,46.6,30.0,96.5,25.7,16.7,10.1
19.5,514.0,30.5,8.9,26.4,17.8,16.5,13.2
2.79,24.4,41.8,12.0,15.4,83.5,22.9,6.26
5.28,466.0,102.0,38.2,30.5,122.0,15.3,14.9
20.0,791.0,33.1,26.2,18.1,12.4,209.0,115.0
2.35,441.0,44.1,33.4,17.5,82.8,19.1,7.77
8.28,294.0,15.3,14.9,17.9,10.7,23.7,21.9
22.3,441.0,85.8,31.3,46.6,32.8,17.9,5.94
21.1,509.0,32.5,27.1,33.7,9.22,33.1,21.9
16.1,294.0,54.7,19.3,27.6,15.0,28.9,12.1
23.5,16.8,40.0,23.7,42.6,11.5,5.67,1.73
26.9,257.0,36.5,16.5,47.0,66.1,5.42,3.34
12.3,453.0,52.8,50.0,22.1,21.3,64.9,29.4
11.2,422.0,81.3,61.5,28.4,14.5,50.0,40.7
19.3,231.0,13.5,30.0,35.2,15.1,44.5,29.7
26.9,422.0,17.5,29.4,44.1,4.26,29.2,22.5
3.43,362.0,38.2,25.9,13.0,52.8,42.6,20.2
1.36,349.0,104.0,26.2,31.9,1.0,15.0,9.56
3.34,372.0,37.2,12.1,10.4,75.7,22.3,12.0
1.0,610.0,52.3,41.0,52.8,8.9,20.0,9.91
20.2,13.3,80.6,25.5,40.0,17.0,18.6,2.76
2.27,562.0,227.0,42.2,28.1,20.5,26.2,2.39
27.9,429.0,33.4,4.45,37.5,12.5,55.7,28.9
10.6,292.0,31.9,16.0,30.2,12.1,7.04,5.73
4.74,445.0,73.7,25.3,15.3,114.0,18.8,4.78
14.3,685.0,55.2,55.7,26.7,11.5,15.3,7.99
18.4,375.0,37.5,21.9,46.1,35.2,14.3,8.9
11.3,1715.0,25.0,16.5,22.7,16.7,172.0,106.0
2.53,1055.0,70.4,33.1,12.1,87.4,88.2,47.8
31.3,567.0,31.1,20.2,80.6,106.0,13.2,9.14
14.3,385.0,47.4,14.1,25.3,14.9,8.28,6.26
21.3,284.0,86.6,49.1,37.2,11.2,17.0,10.8
16.0,1114.0,120.0,45.3,31.3,6.55,38.2,16.5
17.5,764.0,51.4,37.9,36.8,14.3,44.5,10.5
18.1,1155.0,27.6,26.2,31.1,8.98,30.8,21.5
9.91,441.0,42.2,16.8,17.6,17.6,30.5,12.7
24.6,319.0,32.2,28.4,44.1,19.8,24.6,14.7
25.3,1186.0,38.2,24.1,53.8,39.2,47.8,25.5
3.85,437.0,55.7,26.9,19.6,38.2,43.3,25.0
4.87,737.0,47.4,25.5,15.4,76.4,18.4,14.9
24.4,514.0,40.7,17.2,50.0,119.0,21.1,11.7
4.57,365.0,10.6,14.1,12.5,40.3,25.7,17.6
2.69,562.0,92.2,30.2,13.3,61.5,26.9,7.91
3.46,276.0,33.4,12.7,11.3,24.4,29.7,22.1
14.5,331.0,25.7,7.84,27.6,13.8,28.6,17.6
13.8,164.0,63.2,32.5,27.6,1.02,8.28,4.14
13.3,337.0,65.5,28.9,33.4,17.5,21.9,13.6
9.82,514.0,51.4,59.4,18.3,4.0,22.7,5.78
2.86,491.0,65.5,48.3,15.7,57.3,11.9,9.31
5.73,1275.0,13.3,20.7,16.5,16.8,110.0,69.2
13.3,737.0,114.0,39.6,35.2,12.7,23.3,6.73
15.0,743.0,141.0,65.5,26.7,20.7,56.2,40.0
1.35,610.0,43.7,19.3,93.1,8.35,35.9,20.0
46.6,308.0,3.82,14.6,77.7,44.9,26.9,12.6
8.2,311.0,93.1,80.6,18.4,5.28,43.3,28.6
29.7,1472.0,50.0,28.1,59.9,22.7,39.2,9.73
16.3,248.0,89.8,17.0,28.9,19.6,3.16,1.0
12.7,379.0,17.2,15.1,25.9,3.4,27.9,20.9
11.1,483.0,43.7,26.7,31.1,9.06,12.6,11.5
8.51,491.0,19.1,15.5,27.9,16.4,16.3,10.8
15.8,28.4,195.0,60.4,25.9,20.7,13.3,4.53
15.5,407.0,88.2,33.7,38.5,11.1,16.3,10.0
14.1,325.0,92.2,37.2,27.6,16.1,37.2,19.1
13.6,365.0,39.6,11.9,24.6,16.1,27.4,16.5
8.58,355.0,93.1,36.5,12.6,23.5,19.3,11.5
4.74,355.0,18.3,4.1,17.5,67.3,39.6,18.9
15.0,1046.0,63.2,22.7,31.9,11.4,93.1,57.3
12.3,828.0,43.7,13.8,23.1,11.8,31.3,15.0
23.5,305.0,8.2,17.0,38.5,8.9,26.9,16.5
10.3,1700.0,26.7,17.0,20.7,13.9,52.8,14.1
